sim,capex_usd,eta,wacc,brl_usd,lcoh_s1_usd_kg,lcoh_s2_usd_kg
466,709.7693725228435,0.6691721883722549,0.12898437442570068,5.377057992042736,3.3950902879402336,6.113031439688239
467,767.9832140583824,0.6626629363072607,0.1507112475583083,5.691618692815752,5.181811576386011,7.7829521316949934
468,839.8899346369593,0.664401591317498,0.10185983683234681,5.583949323861372,1.7827811605951085,4.543776892821566
469,758.2013449942623,0.6851354542409158,0.12337382650678864,5.495103088217123,3.459109221787674,5.98775117496163
470,747.1244727077151,0.6643583849635868,0.10432492957751142,6.050480972751043,3.7684480182736984,5.955126681001571
471,782.2430187723293,0.6643759839089548,0.08490915792267459,5.398522264786432,2.954263705417213,5.545495920744035
472,809.4187127741635,0.6792183232721469,0.09770432190566969,4.853160307752117,3.1064449933812335,5.7832540425511745
473,754.8002127589975,0.7005377198719441,0.1526371379817822,5.310090101342803,3.778501401513696,6.8758437575952325
474,921.0988089892736,0.6729733609921374,0.11255823517094089,4.676954412384467,11.298286942017091,14.406742276289581
475,1026.265435000429,0.6350350151838834,0.08470808181445905,5.46230298903458,2.5376203614775226,5.361437279534079
476,890.3599723426349,0.6874576193649014,0.1438634172995029,5.3132911781533005,5.248738472276096,7.650648999954705
477,832.1044923057779,0.6942984723325591,0.10062141303502835,5.279859999509322,1.8053740525384663,4.998142117438927
478,855.5075889430839,0.669954320053344,0.14175479686467496,5.663050516175358,12.672633231394363,15.016087518312018
479,842.1465056030996,0.6344477980535764,0.0988981898335023,5.9471567714803175,2.0078859247607226,4.520839512984681
480,835.4298151016111,0.6636631274976246,0.1531081422617659,5.384931554846039,2.906166551117158,5.528767088348112
481,769.1097195616003,0.6615759396968796,0.1007256986428635,5.41357062787012,1.916054118759934,4.181827666896245
482,823.092554792864,0.6737771575977098,0.12062151933750027,5.326998759025596,2.0671329595381556,5.023638367868311
483,720.1599022416306,0.6974240734117986,0.1288600426089475,5.8154649311722135,9.258149739144885,11.40659471777632
484,808.020106589492,0.6807363984260267,0.12120885579851627,5.4749010902492605,2.167573241607635,4.455914524513563
485,805.6887175948146,0.6848256092067269,0.10902501733170362,4.9343616938746715,3.320558028497872,6.063037293087862
486,774.4299479004976,0.6604061867101313,0.09496484627276515,5.638954689487381,3.192005822920912,6.0250700495796305
487,772.109213436702,0.6505308627680859,0.1221881694366594,5.9285922484744695,2.189553425082116,4.689978294620354
488,857.494387916293,0.6879862909951439,0.14548776174663436,5.233115812299156,2.356080278732479,4.920031261000452
489,967.5847098397354,0.6621074994029974,0.09724385680692729,5.687018505070605,3.8415083569117616,6.369367340388867
490,794.7398721008966,0.6694990267794148,0.1039806480620804,5.6141175913339945,3.2251267283238114,5.920728702654235
491,923.3816584021026,0.6828321381890091,0.11338421551344885,5.295940261264762,2.1406266510069343,5.082016345616097
492,845.8764142524326,0.6680126688162059,0.12024954098670934,5.391003290549018,2.3254436121119237,4.667321959824015
493,928.9593667677035,0.6783562247936147,0.08348031516744739,5.135756243663435,1.8633205165611864,5.110992368160666
494,965.4805572006909,0.6915885747887591,0.1202184897114711,5.513041034986096,2.304138118476362,4.904685932842572
495,891.6691513501703,0.7114392396442688,0.08674747355497289,5.108425242768008,8.784709678443319,11.427435285795935
496,899.7585796863633,0.664136302019125,0.11207747804021542,5.394068239605787,2.2351201937294243,5.232424000922077
497,901.2754316062687,0.6741682895682931,0.09462388184848955,5.154347665760699,4.4096800415340285,7.512410006338038
498,871.2813267746126,0.6601818998864888,0.14499237810593332,5.7638047011716,2.274581271557144,4.750662811098719
499,826.2426170548265,0.6746613308835838,0.11356587564357132,5.552763216987944,1.8223140809076193,4.325892768289994
500,939.5922573388096,0.6888108826934084,0.1174548396019545,5.403892383564104,12.239571417198409,15.363394492370354
501,863.8532856085812,0.6890687330626599,0.17736806111333536,5.029420222336542,2.824135165745335,5.918366736201037
502,769.9273862049266,0.6708064754360019,0.14073293658838512,6.100467776534101,3.6642340780715075,6.021765618044251
503,730.5892354154254,0.6881126537585749,0.14203913394794848,5.0683733427174245,3.6547906265511787,6.606288314637622
504,783.9198747504031,0.6643166885452643,0.14872670811411956,5.4585668691063844,5.2247257952955,8.001201391056094
505,897.4331849775886,0.6793492866112478,0.11517594500399708,5.507846221850635,3.8122564950220776,6.625368157223992
506,792.9857913278436,0.6793070003118449,0.1068608964720318,5.416733603077312,1.7552453617478305,4.581211356732808
507,763.5872965359986,0.6776704610201907,0.13848668565983563,5.396879345541853,2.1136191310882095,5.091159773484805
508,732.8880083168606,0.6975512974264351,0.11576666036137646,5.341679828174649,1.92159229193851,4.424300617478525
509,790.3232677753543,0.6722422967891718,0.112107463756032,4.933797946941927,1.8009646788904488,4.488625202618033
510,940.4467013428407,0.6921277986721646,0.11201802292358148,5.2549217364010214,2.40134785353462,5.091238927608595
511,864.2172892325973,0.6601085223637227,0.10750798186463319,5.565365351831007,3.7872958015836056,6.438480657003479
512,1006.4535287152835,0.6597786076022123,0.12832892076202904,5.513828545298279,2.9836589430731446,5.361641348585072
513,919.1060635505859,0.6636912970595004,0.1293069234705329,5.5228068092506115,12.79266612980128,15.63422242568479
514,899.3023722542179,0.6559438688403086,0.11961062601845805,5.2786871704315095,2.44986899168898,5.087818047628487
515,767.2271596562952,0.6770344801316394,0.13498087889052077,5.6686039929787855,3.8302188989362524,6.384643850816765
516,773.0223094250581,0.6934500085907873,0.15256937109544644,5.444684605118048,2.423455911580834,5.317144856198792
